stock_code,status,data_count,message,timestamp
AACB,success,2,2개 분기 데이터,2025-11-03T12:18:38.288353
AACBU,success,2,2개 분기 데이터,2025-11-03T12:18:38.289717
AACBR,success,2,2개 분기 데이터,2025-11-03T12:18:38.974361
AA,success,20,20개 분기 데이터,2025-11-03T12:18:39.242709
AACG,success,8,8개 분기 데이터,2025-11-03T12:18:39.612628
AAM,success,4,4개 분기 데이터,2025-11-03T12:18:39.693100
AAL,success,20,20개 분기 데이터,2025-11-03T12:18:40.127562
AAMI,success,20,20개 분기 데이터,2025-11-03T12:18:40.790470
A,success,20,20개 분기 데이터,2025-11-03T12:18:41.024335
AAME,success,20,20개 분기 데이터,2025-11-03T12:18:41.145892
AAPG,no_data,0,US-GAAP 데이터 없음,2025-11-03T12:25:22.072098
AAON,success,20,20개 분기 데이터,2025-11-03T12:25:22.319889
AAP,success,20,20개 분기 데이터,2025-11-03T12:25:22.321182
AAPL,success,20,20개 분기 데이터,2025-11-03T12:25:22.950332
AARD,success,4,4개 분기 데이터,2025-11-03T12:25:22.959915
AAOI,success,20,20개 분기 데이터,2025-11-03T12:25:23.225949
ABAT,success,20,20개 분기 데이터,2025-11-03T12:25:23.896953
AB,success,20,20개 분기 데이터,2025-11-03T12:25:23.963000
AAT,success,20,20개 분기 데이터,2025-11-03T12:25:24.069156
ABBV,success,20,20개 분기 데이터,2025-11-03T12:25:24.259647
ABCL,success,20,20개 분기 데이터,2025-11-03T12:25:24.836596
ABEO,success,20,20개 분기 데이터,2025-11-03T12:25:24.973221
ABEV,no_data,0,US-GAAP 데이터 없음,2025-11-03T12:25:25.049413
ABCB,success,20,20개 분기 데이터,2025-11-03T12:25:25.161089
ABL,success,20,20개 분기 데이터,2025-11-03T12:25:25.756724
ABLLL,success,20,20개 분기 데이터,2025-11-03T12:25:25.801546
ABG,success,20,20개 분기 데이터,2025-11-03T12:25:25.897398
ABLV,success,7,7개 분기 데이터,2025-11-03T12:25:25.905570
ABNB,success,20,20개 분기 데이터,2025-11-03T12:25:26.584446
ABP,success,17,17개 분기 데이터,2025-11-03T12:25:26.635408
ABOS,success,20,20개 분기 데이터,2025-11-03T12:25:26.657456
ABM,success,20,20개 분기 데이터,2025-11-03T12:25:26.896211
AAUC,failed,0,An error occurred with the SEC EDGAR API: 404 Client Error: Not Found for url: https://data.sec.gov/,2025-11-03T12:25:27.412035
ABSI,success,20,20개 분기 데이터,2025-11-03T12:25:27.618199
ABR,success,20,20개 분기 데이터,2025-11-03T12:25:27.851643
ABT,success,20,20개 분기 데이터,2025-11-03T12:25:28.019379
ABTC,success,20,20개 분기 데이터,2025-11-03T12:25:28.073472
ABTS,success,12,12개 분기 데이터,2025-11-03T12:25:28.248147
ABUS,success,20,20개 분기 데이터,2025-11-03T12:25:28.449437
ABVC,success,20,20개 분기 데이터,2025-11-03T12:25:28.778321
ABVX,no_data,0,US-GAAP 데이터 없음,2025-11-03T12:25:28.779320
ACA,success,20,20개 분기 데이터,2025-11-03T12:25:29.038958
ACAD,success,20,20개 분기 데이터,2025-11-03T12:25:29.301205
ACB,no_data,0,US-GAAP 데이터 없음,2025-11-03T12:25:29.524238
ACCO,success,20,20개 분기 데이터,2025-11-03T12:25:29.707661
ACCS,success,20,20개 분기 데이터,2025-11-03T12:25:30.162382
ACDC,success,19,19개 분기 데이터,2025-11-03T12:25:30.206135
ACEL,success,20,20개 분기 데이터,2025-11-03T12:25:30.451367
ACET,success,20,20개 분기 데이터,2025-11-03T12:25:30.577539
ACFN,success,20,20개 분기 데이터,2025-11-03T12:25:31.234076
ACGL,success,20,20개 분기 데이터,2025-11-03T12:25:31.670791
ACGLN,success,20,20개 분기 데이터,2025-11-03T12:25:31.860901
ACGLO,success,20,20개 분기 데이터,2025-11-03T12:25:32.098764
ACHC,success,20,20개 분기 데이터,2025-11-03T12:25:32.469901
ACHR,success,20,20개 분기 데이터,2025-11-03T12:25:32.698961
ACHV,success,20,20개 분기 데이터,2025-11-03T12:25:32.760862
ACI,success,20,20개 분기 데이터,2025-11-03T12:25:32.950177
ABVE,failed,0,An error occurred with the SEC EDGAR API: 404 Client Error: Not Found for url: https://data.sec.gov/,2025-11-03T12:25:33.113790
ACIU,no_data,0,US-GAAP 데이터 없음,2025-11-03T12:25:33.389715
ACIC,success,20,20개 분기 데이터,2025-11-03T12:25:33.524170
ACLX,success,18,18개 분기 데이터,2025-11-03T12:25:40.856116
ACMR,success,20,20개 분기 데이터,2025-11-03T12:25:40.900522
ACM,success,20,20개 분기 데이터,2025-11-03T12:25:41.156100
ACLS,success,20,20개 분기 데이터,2025-11-03T12:25:41.282092
ACN,success,20,20개 분기 데이터,2025-11-03T12:25:42.021118
ACOG,success,9,9개 분기 데이터,2025-11-03T12:25:42.033069
ACNB,success,20,20개 분기 데이터,2025-11-03T12:25:42.234029
ACNT,success,20,20개 분기 데이터,2025-11-03T12:25:42.369927
ACP,no_data,0,US-GAAP 데이터 없음,2025-11-03T12:25:42.654816
ACIW,success,20,20개 분기 데이터,2025-11-03T12:25:42.894053
ACON,success,18,18개 분기 데이터,2025-11-03T12:25:42.917760
ACRS,success,20,20개 분기 데이터,2025-11-03T12:25:43.239880
ACR,success,20,20개 분기 데이터,2025-11-03T12:25:43.363167
ACRV,success,16,16개 분기 데이터,2025-11-03T12:25:43.551490
ACT,success,20,20개 분기 데이터,2025-11-03T12:25:43.676596
ACTG,success,20,20개 분기 데이터,2025-11-03T12:25:43.854352
ACTU,success,9,9개 분기 데이터,2025-11-03T12:25:43.996041
ACU,success,20,20개 분기 데이터,2025-11-03T12:25:44.193700
ACVA,success,20,20개 분기 데이터,2025-11-03T12:25:44.469519
ACXP,success,20,20개 분기 데이터,2025-11-03T12:25:44.570537
ADAG,success,10,10개 분기 데이터,2025-11-03T12:25:44.940075
AD,success,20,20개 분기 데이터,2025-11-03T12:25:45.106302
ADAM,success,20,20개 분기 데이터,2025-11-03T12:25:45.554437
ADAMG,success,20,20개 분기 데이터,2025-11-03T12:25:45.863948
ADAMH,success,20,20개 분기 데이터,2025-11-03T12:25:46.023605
ADAMI,success,20,20개 분기 데이터,2025-11-03T12:25:46.171003
ADAML,success,20,20개 분기 데이터,2025-11-03T12:25:46.759722
ADAMM,success,20,20개 분기 데이터,2025-11-03T12:25:46.869202
ADAMN,success,20,20개 분기 데이터,2025-11-03T12:25:46.978607
ADAMZ,success,20,20개 분기 데이터,2025-11-03T12:25:47.147926
ADAP,success,20,20개 분기 데이터,2025-11-03T12:25:47.599413
ADC,success,20,20개 분기 데이터,2025-11-03T12:25:48.019774
ADBE,success,20,20개 분기 데이터,2025-11-03T12:25:48.021323
ADCT,success,11,11개 분기 데이터,2025-11-03T12:25:48.049751
ADEA,success,20,20개 분기 데이터,2025-11-03T12:25:48.399502
ACV,failed,0,An error occurred with the SEC EDGAR API: 404 Client Error: Not Found for url: https://data.sec.gov/,2025-11-03T12:25:48.639759
ADIL,success,20,20개 분기 데이터,2025-11-03T12:25:48.824634
ADGM,success,8,8개 분기 데이터,2025-11-03T12:25:48.835778
ADI,success,20,20개 분기 데이터,2025-11-03T12:25:49.083895
ADM,success,20,20개 분기 데이터,2025-11-03T12:25:49.481860
ADMA,success,20,20개 분기 데이터,2025-11-03T12:25:49.542460
ADN,success,20,20개 분기 데이터,2025-11-03T12:25:49.729653
ADNT,success,20,20개 분기 데이터,2025-11-03T12:25:49.802310
ADP,success,20,20개 분기 데이터,2025-11-03T12:25:50.130309
ADSE,no_data,0,OCF 데이터 없음,2025-11-03T12:25:50.219758
ADPT,success,20,20개 분기 데이터,2025-11-03T12:25:50.310540
ADSK,success,20,20개 분기 데이터,2025-11-03T12:25:50.704518
ADT,success,20,20개 분기 데이터,2025-11-03T12:25:50.757849
ADTX,success,20,20개 분기 데이터,2025-11-03T12:25:50.938671
ADTN,success,20,20개 분기 데이터,2025-11-03T12:25:51.379976
ADUR,no_data,0,US-GAAP 데이터 없음,2025-11-03T12:43:16.346006
ADUS,success,20,20개 분기 데이터,2025-11-03T12:43:16.800353
ADV,success,20,20개 분기 데이터,2025-11-03T12:43:18.077395
ADVM,success,20,20개 분기 데이터,2025-11-03T12:43:18.224032
ADX,no_data,0,US-GAAP 데이터 없음,2025-11-03T12:43:18.955311
ADXN,no_data,0,US-GAAP 데이터 없음,2025-11-03T12:43:19.053475
ACV,failed,0,An error occurred with the SEC EDGAR API: 404 Client Error: Not Found for url: https://data.sec.gov/,2025-11-03T12:43:19.295227
AEBI,success,4,4개 분기 데이터,2025-11-03T12:43:19.847997
ABVE,failed,0,An error occurred with the SEC EDGAR API: 404 Client Error: Not Found for url: https://data.sec.gov/,2025-11-03T12:43:19.995999
AAUC,failed,0,An error occurred with the SEC EDGAR API: 404 Client Error: Not Found for url: https://data.sec.gov/,2025-11-03T12:43:20.467752
AEFC,no_data,0,OCF 데이터 없음,2025-11-03T12:43:21.247128
AEG,no_data,0,OCF 데이터 없음,2025-11-03T12:43:21.324044
AEE,success,20,20개 분기 데이터,2025-11-03T12:43:21.638954
AEHL,no_data,0,OCF 데이터 없음,2025-11-03T12:43:22.582181
AEHR,success,20,20개 분기 데이터,2025-11-03T12:43:22.931506
AEI,success,20,20개 분기 데이터,2025-11-03T12:43:23.070469
AEIS,success,20,20개 분기 데이터,2025-11-03T12:43:23.931263
AEM,success,12,12개 분기 데이터,2025-11-03T12:43:24.334207
AEMD,success,20,20개 분기 데이터,2025-11-03T12:43:24.548341
AEC,failed,0,An error occurred with the SEC EDGAR API: 404 Client Error: Not Found for url: https://data.sec.gov/,2025-11-03T12:43:24.728656
