stock_code,status,message,cost,timestamp
A,success,3명 분석 완료,0.0190,2025-11-03T14:11:07.793437
AA,failed,재무 데이터 부족,0.0000,2025-11-03T14:11:07.904244
AACB,failed,재무 데이터 부족,0.0000,2025-11-03T14:11:07.911264
AACBR,failed,재무 데이터 부족,0.0000,2025-11-03T14:11:08.177754
AACBU,failed,재무 데이터 부족,0.0000,2025-11-03T14:11:08.923609
AACG,success,3명 분석 완료,0.0182,2025-11-03T14:11:34.506010
AAL,error,unsupported operand type(s) for /: 'NoneType' and 'int',0.0000,2025-11-03T14:11:34.517499
AAM,success,3명 분석 완료,0.0181,2025-11-03T14:12:05.142158
AAME,success,3명 분석 완료,0.0180,2025-11-03T14:12:31.378725
AAMI,failed,재무 데이터 부족,0.0000,2025-11-03T14:12:31.388126
